Station Display Name,EVSE Latitude and Longitude,Port 1: Voltage (V),Port 1: Current (A),Port 1: Connector Type,Port 2: Voltage (V),Port 2: Current (A),Port 2: Connector Type,Org Name,Address  1,Address  2,Floor Label,City,State,Postal Code,County,Country,No. of Ports,Reservation,Customer Category,Customer Subcategory
120 ENTRANCE / ACH MAIN,"(30.235856, -97.741577)",240V,30A,J1772,240V,30A,J1772,Austin City Hotel,2200 S. Interstate 35,,,Austin,Texas,78704,Travis County,United States,2,Disabled,Hospitality,Hotel / Resort
7700 PARMER / 7700 PARMER,"(30.460477, -97.750024)",240V,30A,J1772,240V,30A,J1772,7700 Parmer,7700 W Parmer Ln,,,Austin,Texas,78729,Williamson County,United States,2,Disabled,Workplace,General
AISD PAC / AISD PAC #1,"(30.305454, -97.702666)",240V,30A,J1772,240V,30A,J1772,Austin Independent School District,Mueller Blvd,,,Austin,Texas,78723,Travis County,United States,2,Disabled,Education,High School / Other
AISD PAC / AISD PAC #2,"(30.30538, -97.702537)",240V,30A,J1772,240V,30A,J1772,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,Travis County,United States,2,Disabled,Education,High School / Other
AISD PAC / AISD PAC #3,"(30.305343, -97.702408)",240V,30A,J1772,240V,30A,J1772,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,Travis County,United States,2,Disabled,Education,High School / Other
AISD PAC / AISD PAC #4,"(30.305269, -97.702269)",240V,30A,J1772,240V,30A,J1772,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,Travis County,United States,2,Disabled,Education,High School / Other
AISD PAC / AISD PAC #5,"(30.305204, -97.702108)",240V,30A,J1772,240V,30A,J1772,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,Travis County,United States,2,Disabled,Education,High School / Other
AMBEROAKS-AE / AMBER 1,"(30.470002, -97.766435)",240V,30A,J1772,240V,30A,J1772,Camden Amber Oaks,9001 Amberglen Blvd,,,Austin,Texas,78729,Williamson County,United States,2,Disabled,Multifamily,Apartment
AMD GO GREEN / P100 FL4 OUTER,"(30.251635, -97.863914)",120V,16A,NEMA 5-20R,240V,30A,J1772,AMD ,7171 Southwest Pkwy,,,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,High-Tech
AMD GO GREEN / P100 FLOOR 5,"(30.251499, -97.863984)",240V,30A,J1772,240V,30A,J1772,AMD ,7171 Southwest Pkwy,,,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,High-Tech
ARBORETUM / N CAPITAL TX 1,"(30.390246, -97.74825)",120V,16A,NEMA 5-20R,240V,30A,J1772,OTR & Ohio General Partnership,9442 N Capital of Texas Hwy,,,Austin,Texas,78759,Travis County,United States,2,Disabled,Retail,General
AUSTIN / 400 - 1,"(30.265028, -97.748448)",240V,30A,J1772,240V,30A,J1772,Silicon Laboratories,400 W Cesar Chavez St,,G - 8,Austin,Texas,78701,Travis County,United States,2,Disabled,Workplace,High-Tech
AUSTIN / 400 - 2,"(30.265052, -97.74844)",240V,30A,J1772,240V,30A,J1772,Silicon Laboratories,400 W Cesar Chavez St,,G - 8,Austin,Texas,78701,Travis County,United States,2,Disabled,Workplace,High-Tech
AUSTIN / 400 - 3,"(30.26505, -97.74849)",240V,30A,J1772,240V,30A,J1772,Silicon Laboratories,400 W Cesar Chavez St,,G - 8,Austin,Texas,78701,Travis County,United States,2,Disabled,Workplace,High-Tech
AUSTIN / AUSTIN 200 1,"(30.264423, -97.746071)",240V,30A,J1772,240V,30A,J1772,Silicon Laboratories,200 W Cesar Chavez St,,G8,Austin,Texas,78701,Travis County,United States,2,Disabled,Workplace,High-Tech
AUSTIN / AUSTIN 200 2,"(30.26445, -97.746142)",240V,30A,J1772,240V,30A,J1772,Silicon Laboratories,200 W Cesar Chavez St,,G8,Austin,Texas,78701,Travis County,United States,2,Disabled,Workplace,High-Tech
AUSTIN / AUSTIN 200 3,"(30.264505, -97.746067)",240V,30A,J1772,240V,30A,J1772,Silicon Laboratories,200 W Cesar Chavez St,,G8,Austin,Texas,78701,Travis County,United States,2,Disabled,Workplace,High-Tech
AVIATION / DOA - CONRAC1,"(30.204711, -97.666322)",240V,30A,J1772,240V,30A,J1772,City of Austin Dept. of Aviation,3819 Presidential Blvd,,1,Austin,Texas,78719,Travis County,United States,2,Disabled,Parking,Commercial
AVIATION / DOA - CONRAC2,"(30.204655, -97.666451)",240V,30A,J1772,240V,30A,J1772,City of Austin Dept. of Aviation,3819 Presidential Blvd,,1,Austin,Texas,78719,Travis County,United States,2,Disabled,Parking,Commercial
AVIATION / LOT J NW,"(30.207439, -97.661026)",240V,30A,J1772,240V,30A,J1772,City of Austin Dept. of Aviation,10137 Hotel Dr,,,Austin,Texas,78719,Travis County,United States,2,Disabled,Municipal,Municipal Parking
AVIATION / LOT J SW,"(30.207559, -97.661039)",240V,30A,J1772,240V,30A,J1772,City of Austin Dept. of Aviation,10137 Hotel Dr,,,Austin,Texas,78719,Travis County,United States,2,Disabled,Municipal,Municipal Parking
AXO GROUP LLC / AUSTIN CHARGE,"(30.266047, -97.733139)",240V,30A,J1772,240V,30A,J1772,AXO Group LLC,601-699 Brushy St,,,Austin,Texas,78702,Travis County,United States,2,Disabled,Workplace,General
