Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address
134,6TH ST / RED RIVER ST,TURNED_ON,,Sarix,LOC16-001505,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,500,6TH ST,,600,RED RIVER ST,,5157835,,"(30.2664757, -97.7371902)",OFFLINE,03/30/2018 08:30:00 AM +0000,-97.7371902,30.2664757,,http://162.89.4.145/CCTVImages/CCTV134.jpg
539,CESAR CHAVEZ ST / SANDRA MURAIDA WAY,TURNED_ON,11/03/2017,Sarix,LOC16-001125,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,910,CESAR CHAVEZ ST,,100,SANDRA MURAIDA WAY,,5155155,,"(30.2664337, -97.7555389)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7555389,30.2664337,,http://162.89.4.145/CCTVImages/CCTV539.jpg
540,LAVACA ST / 2ND ST,TURNED_ON,01/04/2018,Sarix,LOC16-000765,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200,LAVACA ST,,201,2ND ST,,5156415,,"(30.2649975, -97.7465897)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7465897,30.2649975,,http://162.89.4.145/CCTVImages/CCTV540.jpg
541,SH 130 SVRD / 290 HWY SVRD,TURNED_ON,01/04/2018,Sarix,LOC16-004890,,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,11200,SH 130 SVRD,,10017,US 290 HWY SVRD,,5188386,,"(30.3398151, -97.5914612)",OFFLINE,02/01/2018 03:30:00 PM +0000,-97.5914612,30.3398151,,http://162.89.4.145/CCTVImages/CCTV541.jpg
542,GROVE BLVD / FAIRWAY ST (Ruiz Library),TURNED_ON,01/08/2018,Sarix,LOC16-007170,Ruiz Library,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,1600,GROVE BLVD,,5900,FAIRWAY ST,,5161516,,"(30.230108, -97.706307)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.706307,30.230108,,http://162.89.4.145/CCTVImages/CCTV542.jpg
544,CAMERON RD / RUTHERFORD LN,TURNED_ON,02/05/2018,Advidia,LOC16-004515,,NORTHEAST,"1,4",AUSTIN FULL PURPOSE,ROADWAY,,,8112,CAMERON RD,,1300,RUTHERFORD LN,,5163816,,"(30.337326, -97.6832428)",ONLINE,02/06/2018 03:30:00 PM +0000,-97.6832428,30.337326,,http://162.89.4.145/CCTVImages/CCTV544.jpg
2,AIRPORT BLVD / OAK SPRINGS DR,TURNED_ON,11/08/2016,Spectra Enhanced,LOC16-000805,,NORTHEAST,"3,1",AUSTIN FULL PURPOSE,ROADWAY,,,1137,AIRPORT BLVD,,3300,OAK SPRINGS DR,,5162329,,"(30.2735558, -97.6979065)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.6979065,30.2735558,,http://162.89.4.145/CCTVImages/CCTV2.jpg
3,STAKED PLAINS DR / LAKELINE BLVD,TURNED_ON,12/20/2016,Sarix,LOC16-004915,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,10001,STAKED PLAINS DR,,10001,LAKELINE BLVD,,5150747,,"(30.4819565, -97.7895737)",OFFLINE,01/20/2018 03:30:00 PM +0000,-97.7895737,30.4819565,,http://162.89.4.145/CCTVImages/CCTV3.jpg
5,MARTIN LUTHER KING JR BLVD / RIO GRANDE ST,TURNED_ON,11/18/2016,Sarix,LOC16-000095,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,700,MARTIN LUTHER KING JR BLVD,,1800,RIO GRANDE ST,,5156606,,"(30.2825451, -97.7448349)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7448349,30.2825451,,http://162.89.4.145/CCTVImages/CCTV5.jpg
6,LAVACA ST / 3RD ST,TURNED_ON,08/10/2016,Sarix,LOC16-001625,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,300,LAVACA ST,,301,3RD ST,,5156460,,"(30.2659302, -97.7462463)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.7462463,30.2659302,,http://162.89.4.145/CCTVImages/CCTV6.jpg
