number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,rmse
5,5,5,0.001,1,2,1567.9074707
5,5,5,0.001,1,3,1440.9640257
5,5,5,0.001,1,5,1563.4352296
5,5,5,0.001,1,8,1485.9276183
5,5,5,0.001,1,10,1543.0493592
5,5,5,0.001,5,2,1586.8755251
5,5,5,0.001,5,3,1599.2400634
5,5,5,0.001,5,5,1495.8875304
5,5,5,0.001,5,8,1651.4040558000002
5,5,5,0.001,5,10,1564.0450013
5,5,5,0.001,20,2,1645.7328798
5,5,5,0.001,20,3,1599.0715638
5,5,5,0.001,20,5,1482.7333313
5,5,5,0.001,20,8,1677.8043334
5,5,5,0.001,20,10,1627.12323
5,5,5,0.001,100,2,1584.9960937
5,5,5,0.001,100,3,1698.8417785
5,5,5,0.001,100,5,1617.11344
5,5,5,0.001,100,8,1498.1099181
5,5,5,0.001,100,10,1508.4138672
5,5,5,0.003,1,2,1625.657483
5,5,5,0.003,1,3,1417.5553039000001
5,5,5,0.003,1,5,1423.0323121
5,5,5,0.003,1,8,1480.412201
5,5,5,0.003,1,10,1531.4774352
5,5,5,0.003,5,2,1452.1087462
5,5,5,0.003,5,3,1595.1070739
5,5,5,0.003,5,5,1656.5753295
5,5,5,0.003,5,8,1532.6417357
5,5,5,0.003,5,10,1573.5058776
5,5,5,0.003,20,2,1582.5722413
5,5,5,0.003,20,3,1424.2940612
5,5,5,0.003,20,5,1648.9871521
5,5,5,0.003,20,8,1475.4553162
5,5,5,0.003,20,10,1569.7445252
5,5,5,0.003,100,2,1501.7777773
5,5,5,0.003,100,3,1575.3182863
5,5,5,0.003,100,5,1510.5794799999999
5,5,5,0.003,100,8,1528.5888978
5,5,5,0.003,100,10,1598.8726805
5,5,5,0.005,1,2,1504.5714263
5,5,5,0.005,1,3,1570.9922516
5,5,5,0.005,1,5,1480.1541199
5,5,5,0.005,1,8,1362.5195282
5,5,5,0.005,1,10,1503.7047576
5,5,5,0.005,5,2,1495.8230194
5,5,5,0.005,5,3,1519.7239441
5,5,5,0.005,5,5,1446.9903625
5,5,5,0.005,5,8,1596.8261717999999
5,5,5,0.005,5,10,1649.3650818
5,5,5,0.005,20,2,1495.2743834999999
5,5,5,0.005,20,3,1521.4601683
