number_of_trees,mtry,min_observations,terminal_nodes,rmse
10,3,2,15,417.0256206771553
10,1,1,1,1477.6035863466032
10,1,1,2,1255.7003857396637
10,1,1,5,1073.5548175950644
10,1,1,10,1049.4315721338262
10,1,1,15,1030.2865100275508
10,1,2,1,1475.5164345239955
10,1,2,2,1279.6115305423507
10,1,2,5,1076.9926755611862
10,1,2,10,1028.4639609147016
10,1,2,15,1046.673901306937
10,1,5,1,1481.2956087404766
10,1,5,2,1226.741266411166
10,1,5,5,1101.808771611116
10,1,5,10,1063.790233997127
10,1,5,15,1092.4523734881375
10,1,10,1,1473.7113562590494
10,1,10,2,1254.3475901305915
10,1,10,5,1138.762008235397
10,1,10,10,1147.5361165175923
10,1,10,15,1145.7937853483784
10,1,15,1,1479.1658920249567
10,1,15,2,1266.3846766187357
10,1,15,5,1228.85966787894
10,1,15,10,1242.4005878645503
10,1,15,15,1238.502725467282
10,2,1,1,1479.5468803199033
10,2,1,2,1153.4876344184959
10,2,1,5,975.5009163185977
10,2,1,10,936.6230426170988
10,2,1,15,920.8256284615012
10,2,2,1,1486.3182573511624
10,2,2,2,1145.721797750169
10,2,2,5,989.2456852218395
10,2,2,10,920.0811156113313
10,2,2,15,936.7781545521101
10,2,5,1,1478.3804291735148
10,2,5,2,1137.5857601144687
10,2,5,5,961.8752329933777
10,2,5,10,949.3202344896687
10,2,5,15,969.6043490339725
10,2,10,1,1483.0220750852263
10,2,10,2,1153.5432211732902
10,2,10,5,1059.5159257277223
10,2,10,10,1035.9004729426874
10,2,10,15,1049.3853079016237
10,2,15,1,1477.6825507199765
10,2,15,2,1143.1889169462402
10,2,15,5,1121.1948967460394
10,2,15,10,1136.7419207380024
10,2,15,15,1112.4466224821376
10,3,1,1,1476.5817085797617
10,3,1,2,1074.1544495347646
10,3,1,5,907.8050122515003
10,3,1,10,855.1377911327558
10,3,1,15,840.5967146370884
10,3,2,1,1480.1693724130696
10,3,2,2,1058.0593923785846
10,3,2,5,902.5124175091184
10,3,2,10,871.3630916999587
10,3,2,15,876.6139755740076
10,3,5,1,1472.0855660386846
10,3,5,2,1079.3579384265502
10,3,5,5,903.7109751180316
10,3,5,10,890.4405589093974
10,3,5,15,884.5026781845942
10,3,10,1,1482.3880576906608
10,3,10,2,1064.565029097936
10,3,10,5,996.2430766728929
10,3,10,10,1011.5852282531181
10,3,10,15,1018.2701559622908
10,3,15,1,1474.3140884064003
10,3,15,2,1061.2373241094133
10,3,15,5,1062.2725168553309
10,3,15,10,1063.2778078326098
10,3,15,15,1052.2610582960567
10,4,1,1,1480.9056200879695
10,4,1,2,1012.084810428319
10,4,1,5,843.3551637613001
10,4,1,10,811.7489235568936
10,4,1,15,800.960767547325
10,4,2,1,1483.0812416725216
10,4,2,2,1022.0051344030969
10,4,2,5,843.4117155515646
10,4,2,10,800.9115294247825
10,4,2,15,810.1455357141086
10,4,5,1,1474.642511467442
10,4,5,2,1031.9339315527407
10,4,5,5,822.3876704506806
10,4,5,10,818.82432345072
10,4,5,15,824.7205128413899
10,4,10,1,1481.0295950002364
10,4,10,2,987.6522591891351
10,4,10,5,957.9669408153134
10,4,10,10,947.243735191908
10,4,10,15,940.8310668272359
10,4,15,1,1478.3240788617509
10,4,15,2,990.3990445986926
10,4,15,5,1002.5455161070561
10,4,15,10,1014.9044242014769
10,4,15,15,1017.8611750975952
10,5,1,1,1482.5652386825009
10,5,1,2,975.9816585891463
10,5,1,5,771.0816392482996
10,5,1,10,771.6726989167701
10,5,1,15,774.1705620615309
10,5,2,1,1482.5105234597463
10,5,2,2,974.05431100223
10,5,2,5,774.1156642377116
10,5,2,10,769.0637100075662
10,5,2,15,767.1963142279817
10,5,5,1,1474.100619140731
10,5,5,2,1005.8754312189654
10,5,5,5,787.3933024571586
10,5,5,10,774.5780840796225
10,5,5,15,778.0403747340184
10,5,10,1,1473.9654446719421
10,5,10,2,976.9950279748267
10,5,10,5,907.828812669464
10,5,10,10,905.3479183773499
10,5,10,15,911.620643415031
10,5,15,1,1477.9830817316576
10,5,15,2,981.832324160889
10,5,15,5,985.0280282268891
10,5,15,10,999.6773909993033
